Name, Number_of_flats, Active, Address_line1, Address line2, City, Pincode, State, Country, Address line1, Address line2, City, Pin, Plot No, RegistrationNo, Ward No
Samarth Angan CHS,330, Yes,"Lokhandwala Complex, K.L.walawalkar road",Andheri West,MUMBAI,400053,MAHARASTRA,INDIA, , ,MUMBAI, , , , 
Oshiwara ind. Center,270, Yes,Link Road Opp Oshiwara Bus depo,Goregaon West,MUMBAI,400104,MAHARASTRA,INDIA, , ,MUMBAI, , , , 
Brighton Tower CHS,120, Yes,"Lokhandwala Complex, 2nd cross lane",Andheri West,MUMBAI,400053,MAHARASTRA,INDIA, , ,MUMBAI, , , , 
AARAM NAGAR,112, Yes,SEVEN BUNGLOWS,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
AASHIRWAD,112, Yes,2ND CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
ACCORD ,112, Yes,2ND CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
ACROPOLIS,112, Yes,3RD CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
AKSHARDHAM,112, Yes,VERSOVA MHADA,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
AMIT ESTATE,112, Yes,3RD CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
APNA GHAR SWATI,112, Yes,1ST CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
ARENA,112, Yes,MAIN ROAD,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
ASHIRWAD,112, Yes,2ND CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
ASHISH (RBI),112, Yes,2ND CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
