Samarth Angan CHS,330, Yes,"Lokhandwala Complex, K.L.walawalkar road",Andheri West,MUMBAI,400053,MAHARASTRA,INDIA, , ,MUMBAI, , , , 
Oshiwara ind. Center,270, Yes,Link Road Opp Oshiwara Bus depo,Goregaon West,MUMBAI,400104,MAHARASTRA,INDIA, , ,MUMBAI, , , , 
Brighton Tower CHS,120, Yes,"Lokhandwala Complex, 2nd cross lane",Andheri West,MUMBAI,400053,MAHARASTRA,INDIA, , ,MUMBAI, , , , 
AARAM NAGAR,112,yes,SEVEN BUNGLOWS,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
AASHIRWAD,112,yes,2ND CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
ACCORD ,112,yes,2ND CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
ACROPOLIS,112,yes,3RD CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
AKSHARDHAM,112,yes,VERSOVA MHADA,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
AMIT ESTATE,112,yes,3RD CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
APNA GHAR SWATI,112,yes,1ST CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
ARENA,112,yes,MAIN ROAD,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
ASHIRWAD,112,yes,2ND CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
ASHISH (RBI),112,yes,2ND CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
ATLAS APTS,112,yes,4TH CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
ATLAS SKYWALKER,112,yes,,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
AZAD NAGAR NO . 2,112,yes, VERRA DESAI A ( W),Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
BALERINA,112,yes,3RD CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
BASERA ,112,yes,MAIN ROAD,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
BELMONT,112,yes,3RD CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
BELSCOT,112,yes,OPP KAMAT CLUB,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
BENHUR,112,yes,"OPP. KAMAT CLUB, LOKHANDWALA COMPLEX",Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
BENZER,112,yes,MAIN ROAD,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
BHOOMI CLASSIC,112,yes,LOKHANWALA COMPLEX,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
BREEZE,112,yes,3RD CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
BRIGHTON TOWER  ,112,yes,2ND CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
BRIGHTON UNIT ,112,yes,2ND CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
BROOKHILL TOWER,112,yes,3RD CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
BSC II SVP NAGAR,112,yes,MHADA,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
CITIZEN,112,yes,MAIN ROAD,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
CLARIDGE ,112,yes,3RD CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
CLIFF TOWER,112,yes,3RD CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
CONCORD    ,112,yes,2ND CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
COSMOS,112,yes,3RD CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
CROSS GATE ,112,yes,4TH CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
DENZIL,112,yes,3RD CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
"D'SOUZA VISHWA STATUS,",112,yes,"COLLEGE ROAD,",Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
DUPLEX HEIGHTS,112,yes,PARASRAMPURIA TOWER NO. 6,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
EDEN WOODS,112,yes,SHASTRI NAGAR,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
EXCELLENCY  ,112,yes,4TH CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
GALACTICA ,112,yes,3RD CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
GARDEN VIEW,112,yes,SHASTRI NAGAR,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
GLEN CLASSIC ,112,yes,"HIRANANDANI GARDEN, POWAI",Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
Golden Chariot   ,112,yes,Old Lokhandwala Complex,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
GREEN ACRES,112,yes,MAIN ROAD,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
GREEN CREST ,112,yes,MODEL TOWN,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
GREEN VILLE ,112,yes,,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
GREENFIELDS CHS,112,yes,LOKHANDWALA COMPLEX,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
GREN ACRES,112,yes,MAIN ROAD,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
GURU DARSHAN ,112,yes,2ND CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
GURU KRUPA,112,yes,2ND CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
GURU PRASAD,112,yes,2ND CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
GURUDARSHAN ,112,yes,2ND CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
HARMONY,112,yes,3RD CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
HERITAGE ,112,yes,4TH CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
HIGHLAND PARK,112,yes,MAIN ROAD,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
HOME COURT,112,yes,MAIN ROAD,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
HOME LAND ,112,yes,MAIN ROAD,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
HOME STEAD,112,yes,MAIN ROAD,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
HRUSHIKESH ,112,yes,SWAMY SAMARTH NAGAER,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
INDRADARSHAN 2,112,yes,OPP. TARAPORE GARDENS,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
INDRADARSHAN-1,112,yes,LOKHANDWALA COMPLEX,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
IVORY HEIGHT,112,yes,2ND CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
JUPITER,112,yes,4TH CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
KAMAL APT,112,yes,LOKHANDWALA COMPLEX,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
KANCHANGANGA C.H.S. LTD.,112,yes,MANISH NAGAR,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
KARAN,112,yes,LOKHANDWALA COMPLEX,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
KEN MORE,112,yes,2ND CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
KENWOOD ,112,yes,MAIN ROAD,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
KINGSTON,112,yes,4TH CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
KRISHNA KAVERI,112,yes,YAMUNA NAGAR,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
KRYSTAL AVENUE,112,yes,3RD CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
LEGEND ,112,yes,LOKHANDWALA COMPLEX,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
LENNIE,112,yes,4TH CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
Link Garden chs,112,yes,Yamuna Nagar,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
LINK GARDEN TOWER-2,112,yes,LOKHANDWALA COMPLEX,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
LITTLE MASTER,112,yes,MAIN ROAD,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
MAGNUM BUNGLOW,112,yes,2ND CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
MAGNUM TOWER,112,yes,2ND CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
MAGNUM UNIT,112,yes,2ND CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
MANISH GARDEN C H S LTD,112,yes,FOUR BUNGLOW,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
MANJU BUNGLOW,112,yes,3RD CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
MANJU TOWER,112,yes,3RD CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
MEDHAVI ,112,yes,2ND CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
MEGDHOOT TOWER,112,yes,LOKHANDWALA COMPLEX,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
MERCURY ,112,yes,4TH CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
MERRYDIAN APT,112,yes,,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
MONICA PARK  ,112,yes,MAROL MILITARY ROAD ANDHERI (E),Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
MONISHA  BUNGLOW,112,yes,4TH CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
MONISHA TOWER,112,yes,4TH CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
MONTANA  ,112,yes,2ND CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
MOTA MAHAL,112,yes,3RD CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
MOTA MANSION ,112,yes,4TH CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
NAV KARAN,112,yes,MAIN ROAD,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
NEBULA ,112,yes,4TH CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
NEPTUNE,112,yes,4TH CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
NESTLE ,112,yes,4TH CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
NORWOOD,112,yes,MAIN ROAD,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
NUTAN ABHISHEK,112,yes,2ND CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
OBEROI SKY GARDEN,112,yes,LOKHANDWALA COMPLEX,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
OBEROI SKY HEIGHTS,112,yes,3RD CROSS LANE,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
OBEROI SKY LARK,112,yes,,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
OBEROI SKY WALKER,112,yes,,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
"OLYMPIC TOWER,",112,yes,"YAMUNA NAGAR,ANDHERI (W)",Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
OM KOTAK   VILLA,112,yes,LOKHANDWALA COMPLEX,Andheri West,MUMBAI,400053,MAHARASTRA,INDIA,,,MUMBAI,,,,
